smiles,new_label
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0
CC(C)(N)Cc1ccccc1,0
CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,0
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,0
CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,0
C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,0
NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,0
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,0
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,0
Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,0
CN(C)CCN(Cc1ccccc1)c1ccccn1,0
COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,0
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,0
CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,0
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,0
Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,0
CC12CCC3C(CCC4=C(O)C(=O)CCC43C)C1CCC2=O,0
NCCc1ccc(O)c(O)c1,0
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0
CCCN1CC(CSC)CC2c3cccc4[nH]cc(c34)CC21,0
CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1,0
c1ccc2c(c1)OCC(C1=NCCN1)O2,0
CCCc1cc(C(N)=S)ccn1,0
CN(C)CCOC(c1ccccc1)c1ccccc1,0
O=C1c2c(O)cccc2Cc2cccc(O)c21,0
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(N=C(N)N)cc2)cc1,0
NC(=O)c1nc(F)c[nH]c1=O,0
COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O,0
CC12CC(=O)C3C(CCC4CC(O)CCC43C)C1CCC2C(=O)CO,0
COC(c1ccccc1)(c1ccccc1)C(Oc1nc(C)cc(C)n1)C(=O)O,0
CC1CCC2C(C)C(O)OC3OC4(C)CCC1C32OO4,0
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,0
c1ccc(CNCCNCc2ccccc2)cc1,0
CC(=C(CCOC(=O)c1ccccc1)SSC(CCOC(=O)c1ccccc1)=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,0
CC(C)=CC(C)=NNc1nncc2ccccc12,0
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0
COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,0
CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,0
CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,0
CCc1ccc(C(=O)C(C)CN2CCCCC2)cc1,0
Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,0
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,0
CCC(=O)OC(OP(=O)(CCCCc1ccccc1)CC(=O)N1CC(C2CCCCC2)CC1C(=O)O)C(C)C,0
CC(=C(CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N,0
