smiles, isactive
O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1,0
O=c1cc(-c2ccccc2)oc2cc(O)c(O)cc12,0
Oc1c(I)cc(Cl)c2cccnc12,0
OCC1OC(OCCc2ccc(O)cc2)C(O)C(O)C1O,0
COc1c2c(cc3c1OCO3)CC[N+](C)=C2,0
COC(=O)CC1C(C)(C)C(=O)C2CC3C4=CC(=O)OC(c5ccoc5)C4(C)CCC3C1(C)C2=O,0
O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,0
CCCCC1(COC(=O)CCC(=O)O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0
CC1OC1P(=O)([O-])[O-],0
NC(=O)c1cc[n+](CC2=C(C(=O)[O-])N3C(=O)C(NC(=O)C(c4ccccc4)S(=O)(=O)[O-])C3SC2)cc1,0
CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1,0
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,0
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],0
CN(C)Cc1c[nH]c2ccccc12,0
COc1cc(OC)c(C(C)=O)c(O)c1C,0
CC(=O)N=c1sc(S(N)(=O)=O)nn1C,0
CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,0
Oc1c(Cl)cc(Cl)c2cccnc12,0
CCN(CC)C(=O)c1ccc(O)c(OC)c1,0
O=C(O)C1CSCN1,0
C=Cc1c(C)c2[n-]c1=Cc1[n-]c(c(CC)c1C)C=c1[n-]c3c(c1C)C(=O)C(C(=O)[O-])C=3c1[n-]c(c(C)c1CCC(=O)[O-])C=2,0
CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O,0
CCCc1cc(OC)c2c(c1)OCO2,0
CC(=O)OC1CCC2(C)C(CCC3C2CC(=O)C2(C)C3CC3OC4(CCC(C)CO4)C(C)C32)C1,0
CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,0
CC(C)N=C(N)N=C(N)Nc1ccc(Cl)cc1,0
COc1cc(-c2coc3cc(O)c(OC)c(O)c3c2=O)cc(O)c1OC,0
O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(=O)c(O)c2c(O)c(O)cc(C3Oc4cc(O)cc(O)c4CC3O)c2c1)c1cc(O)c(O)c(O)c1,0
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,0
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,0
CCOC(=O)CCCCCCCCCCCCC1C=CCC1,0
O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,0
CC(C)=CCCC1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)OC12C(=CC4CC1C(C)(C)OC2(CC=C(C)C(=O)O)C4=O)C3=O,0
COc1cc(CC=Cc2ccccc2)c(OC)cc1O,0
CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,0
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,0
S=P(N1CC1)(N1CC1)N1CC1,0
C=CCC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C=CC21C,0
CC1(C)SC2C(NC(=O)C(C(=O)[O-])c3ccccc3)C(=O)N2C1C(=O)[O-],0
C=C(C)C1CC=C(CO)CC1,0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0
CC[N+](C)(C)c1cccc(O)c1,0
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0
COc1cc(C=CC(=O)O)ccc1O,0
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,0
CC1(C)C(=O)C=CC2(C)C1CC(O)C1(C)C2CCC2(C)C(c3ccoc3)OC(=O)C3OC321,0
O=C(Oc1cc(O)cc2c1CC(OC(=O)c1cc(O)c(O)c(O)c1)C(c1cc(O)c(O)c(O)c1)O2)c1cc(O)c(O)c(O)c1,0
C=C1C(=O)C23C(O)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,0
COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,0
CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1,0
CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1,0
COC(=O)CCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,0
CCC(C)CCCC(=O)NC(CCN)C(=O)NC(C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCN)NC1=O)C(C)O,0
NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,0
NCC(O)c1ccc(O)cc1,0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,0
COc1cc(OC)c2c(OC)c(-c3ccc4c(c3)OCO4)c(=O)oc2c1,0
Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,0
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,0
O=Cc1ccccc1OC1OC(CO)C(O)C(O)C1O,0
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,0
O=c1c2cc(O)c(O)cc2oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,0
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,0
COc1ccc2oc(-c3ccccc3OC)cc(=O)c2c1,0
COc1ccc(C=CC(=O)O)cc1OC,0
COc1cc(NC(C)CCCN)c2ncccc2c1,0
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,0
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,0
CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,0
NCCc1cnc[nH]1,0
